Barcode_i	Barcode_j	Condition1	Condition2	Z_Condition1	Z_Condition2	GI_Condition1	GI_Condition2	Class_Condition1	Class_Condition2	DeltaZ	DeltaGI	DeltaZ_FDR
RAD51	RAD59	ZEOC	CMPT	3.12054020425374	9.75084560904864	0.0273147681010821	0.313147932903054	NEUTRAL	ALLEVIATING	-8.58706811904719	-0.285833164801972	0.00671571940617978
RAD54	RAD59	ZEOC	CMPT	1.53835115527168	11.6721180853287	0.0108037109934778	0.268976214998207	NEUTRAL	ALLEVIATING	-10.7166786493473	-0.25817250400473	0.000900105007265982
CLA4	RAD61	ZEOC	CMPT	-14.806664385275	3.13273518553601	-0.557336029018824	0.130551892624307	AGGRAVATING	NEUTRAL	-12.2495560714325	-0.687887921643132	0.000183714963160977
CSM2	RAD61	ZEOC	CMPT	-9.28425252544749	-1.91078787817702	-0.989586072318121	-0.0579422593917974	AGGRAVATING	NEUTRAL	-8.40703539186213	-0.931643812926323	0.00753609071270978
MMS4	RTT101	ZEOC	CMPT	-7.10427909011509	9.83190372017987	-0.0555303983531278	0.166191289412233	NEUTRAL	ALLEVIATING	-11.9057724385983	-0.221721687765361	0.000287623771849439
MUS81	RTT101	ZEOC	CMPT	2.20939757665583	10.00916584344	0.0194749944142911	0.501940884370312	NEUTRAL	ALLEVIATING	-9.47555313165023	-0.482465889956021	0.00307417321385154
RAD51	RTT101	ZEOC	CMPT	-6.07430147597898	12.7660731406701	-0.0548080532255876	0.222873652927758	NEUTRAL	ALLEVIATING	-14.1298769154859	-0.277681706153345	1.6568759419793e-05
RAD54	RTT101	ZEOC	CMPT	-2.58519111598602	20.073842148448	-0.0180754588819561	0.263243118921505	NEUTRAL	ALLEVIATING	-18.9296548099729	-0.281318577803461	4.81075229100389e-09
RAD55	RTT101	ZEOC	CMPT	-5.75818912612829	10.0581749397221	-0.0470960904983741	0.188190853926608	NEUTRAL	ALLEVIATING	-11.5224839657203	-0.235286944424982	0.000413295043170269
MMS1	RTT107	ZEOC	CMPT	-5.96208148928699	10.0456630793272	-0.059770460432972	0.242487146813439	NEUTRAL	ALLEVIATING	-11.5641322250154	-0.302257607246411	0.000413295043170269
MMS4	RTT107	ZEOC	CMPT	-2.26583372963208	12.8872445827671	-0.0205913732207719	0.249318722272156	NEUTRAL	ALLEVIATING	-12.6277749717901	-0.269910095492927	0.000116557925252537
MUS81	RTT107	ZEOC	CMPT	-7.97167907780506	7.89973642917611	-0.0912341277772036	0.523004530888659	NEUTRAL	ALLEVIATING	-9.14219072522854	-0.614238658665863	0.00422085955921546
RAD52	RTT107	ZEOC	CMPT	1.31069769408206	11.5144457086723	0.0200320476331432	0.247088802052835	NEUTRAL	ALLEVIATING	-8.61848959915263	-0.227056754419692	0.00664813200104934
RAD55	RTT107	ZEOC	CMPT	-20.5077105071411	2.15994110426759	-0.313252306463359	0.049899330915573	AGGRAVATING	NEUTRAL	-13.1123759544822	-0.363151637378932	6.67002090721808e-05
RAD59	RTT107	ZEOC	CMPT	-0.623920268309937	8.09278368145236	-0.00534601017567861	0.482709429852661	NEUTRAL	ALLEVIATING	-8.09926975745509	-0.488055440028339	0.00969017338933822
CLA4	SGS1	ZEOC	CMPT	1.04952035755973	12.2286633903621	0.00878422093478772	0.141685032347235	NEUTRAL	ALLEVIATING	-9.2981937561214	-0.132900811412448	0.00362075140134339
CSM3	SGS1	ZEOC	CMPT	-9.95790593318758	7.34260895265176	-0.0672339089576706	0.0781416820393551	AGGRAVATING	NEUTRAL	-11.5346987025187	-0.145375590997026	0.000413295043170269
MMS1	SGS1	ZEOC	CMPT	-2.92066443362873	13.1613853595629	-0.0250652111977819	0.183324114917305	NEUTRAL	ALLEVIATING	-12.7373333791304	-0.208389326115087	0.000104037106043991
RAD51	SGS1	ZEOC	CMPT	3.01900063714195	18.3006718019854	0.0263299218949182	0.210184263285934	NEUTRAL	ALLEVIATING	-12.7489422888554	-0.183854341391016	0.000104037106043991
RAD54	SGS1	ZEOC	CMPT	1.7452785995391	37.0921519274114	0.0116877098819753	0.321890917259177	NEUTRAL	ALLEVIATING	-28.2990773065488	-0.310203207377202	1.97457119460963e-19
RAD55	SGS1	ZEOC	CMPT	5.43379001517559	27.9666002776808	0.0451276123704791	0.311334562465986	NEUTRAL	ALLEVIATING	-19.1668295279296	-0.266206950095507	3.27988154157838e-09
RAD57	SGS1	ZEOC	CMPT	3.32516850923794	13.9716412382565	0.0430781214951168	0.419933985865556	NEUTRAL	ALLEVIATING	-11.5143134701911	-0.376855864370439	0.000413295043170269
MMS1	SHU1	ZEOC	CMPT	-27.0550129638051	4.10157144612549	-0.234023078144996	0.0377059976836612	AGGRAVATING	NEUTRAL	-21.5269803637101	-0.271729075828657	2.36920436842709e-11
