Gene pair	Epsilon	p(Eps==0)	z(Sxy=Sx)	z(Sxy=Sy)	Congruence	# w/ GO term	Sig. GO link	Interaction (P < 0.01)
mms4-mag1	-0.075603	1.17E-02	-4.302362	-4.970396	0.028067	150	0	neutral
mag1-rad61	-0.079668	8.62E-03	-2.578096	-4.873117	-0.139391	535	0	aggravating
rtt107-mus81	-0.083869	4.94E-03	-4.86716	-5.373854	0.216116	97	0	aggravating
rad52-cla4	-0.085992	3.50E-03	-2.987069	-11.920975	-0.506752	255	0	aggravating
shu2-slx4	-0.089148	3.39E-03	-2.450631	-4.034039	-0.336306	463	0	aggravating
csm2-slx4	-0.093026	2.42E-03	-2.411744	-4.379513	-0.235935	463	0	aggravating
psy3-cla4	-0.093502	2.14E-03	-3.280049	-4.989593	-0.092462	1437	0	aggravating
mph1-slx4	-0.097172	1.38E-03	-2.635774	-4.031879	-0.249613	463	0	aggravating
csm3-slx4	-0.098265	1.29E-03	-2.810051	-3.390585	0.059959	4096	0	aggravating
mus81-swc5	-0.0972	1.29E-03	-1.974916	-5.800769	0.035643	463	0	aggravating
rtt107-psy3	-0.099275	1.07E-03	-4.014401	-6.277564	-0.185512	150	0	aggravating
rtt107-shu1	-0.104117	6.23E-04	-3.895522	-5.637782	-0.0087	150	0	aggravating
rtt107-mms4	-0.104027	5.43E-04	-4.985918	-5.539865	0.127289	97	0	aggravating
rad55-rtt107	-0.105454	5.24E-04	-5.737528	-6.440428	-0.029706	41	0	aggravating
rad59-mag1	-0.105375	4.72E-04	-5.329976	-5.960833	0.167177	150	0	aggravating
sgs1-csm3	-0.106551	4.38E-04	-2.537706	-10.577968	0.542037	127	0	aggravating
rtt101-slx4	-0.106865	3.79E-04	-2.786763	-7.50755	-0.152982	463	0	aggravating
psy3-slx4	-0.115031	1.63E-04	-3.049656	-4.686435	-0.293843	463	0	aggravating
shu1-cla4	-0.118079	1.24E-04	-4.671702	-6.798348	-0.165292	1437	0	aggravating
mms1-slx4	-0.115641	1.08E-04	-3.421871	-9.68379	-0.150036	463	0	aggravating
rad54-slx4	-0.118138	8.27E-05	-3.247713	-9.968485	-0.339204	463	0	aggravating
rtt107-csm2	-0.120893	6.64E-05	-4.177316	-6.096302	-0.008152	150	0	aggravating
rad57-rtt107	-0.123631	2.99E-05	-6.149141	-7.172051	-0.000234	41	0	aggravating
sgs1-rtt107	-0.124894	2.70E-05	-4.422697	-9.232353	0.026622	463	0	aggravating
rad54-rtt107	-0.125514	2.02E-05	-5.669724	-8.546821	0.225165	41	0	aggravating
csm2-cla4	-0.131099	1.80E-05	-4.142953	-6.143791	-0.15463	255	0	aggravating
rtt107-shu2	-0.129613	1.78E-05	-4.125036	-6.438702	-0.032193	150	0	aggravating
sgs1-mag1	-0.129287	1.64E-05	-4.925044	-11.189444	-0.200338	463	0	aggravating
sgs1-cla4	-0.132432	1.10E-05	-4.032864	-12.616068	-0.444313	146	0	aggravating
shu2-cla4	-0.136026	7.72E-06	-4.12568	-5.745648	-0.043581	1437	0	aggravating
rad55-slx4	-0.142861	4.31E-06	-3.820405	-8.380209	-0.332359	463	0	aggravating
rtt107-mag1	-0.140162	3.22E-06	-5.831706	-7.141094	0.385279	150	0	aggravating
hpr5-rad61	-0.147588	1.41E-06	-3.30879	-4.796481	0.183413	535	0	aggravating
rad51-rtt107	-0.144334	1.01E-06	-6.203683	-8.220482	0.025849	41	0	aggravating
rad57-slx4	-0.148034	8.58E-07	-4.108171	-9.011449	-0.266997	463	0	aggravating
rad59-slx4	-0.149586	7.76E-07	-3.823222	-7.089036	0.155639	463	0	aggravating
rad51-slx4	-0.149762	6.36E-07	-4.049069	-9.924292	-0.266749	463	0	aggravating
mag1-psy3	-0.153914	3.92E-07	-5.601743	-6.609812	-0.215275	150	0	aggravating
mag1-shu1	-0.160333	1.72E-07	-5.59525	-6.072725	-0.173449	150	0	aggravating
mag1-swc5	-0.168277	2.94E-08	-4.022457	-7.120384	0.526758	463	0	aggravating
mag1-shu2	-0.16853	2.81E-08	-5.804222	-6.854078	-0.175648	150	0	aggravating
rad54-mag1	-0.170539	8.65E-09	-6.307967	-10.615084	-0.346961	150	0	aggravating
mag1-mph1	-0.179167	3.59E-09	-5.619166	-6.925612	-0.225738	150	0	aggravating
rad51-mag1	-0.184353	5.82E-10	-6.78891	-10.208895	-0.282282	150	0	aggravating
rad57-mag1	-0.195307	5.78E-11	-6.997797	-9.382006	-0.16493	150	0	aggravating
rad59-cla4	-0.199961	2.83E-11	-5.691957	-8.885154	0.06416	1002	0	aggravating
mms1-cla4	-0.197221	2.31E-11	-5.698619	-11.856983	-0.211283	544	0	aggravating
rad55-cla4	-0.208745	1.40E-11	-6.172098	-10.656526	-0.221374	255	0	aggravating
mus81-mph1	-0.204046	1.08E-11	-5.513557	-7.597454	0.178176	150	0	aggravating
rad55-mag1	-0.214018	2.66E-12	-7.544281	-9.625731	-0.199214	150	0	aggravating
rtt107-hpr5	-0.211778	2.41E-12	-5.170771	-7.149313	0.224732	41	0	aggravating
rad54-cla4	-0.208975	1.94E-12	-6.360356	-13.015483	-0.327043	374	0	aggravating
mag1-slx4	-0.223679	1.57E-13	-5.694324	-8.290822	0.242348	463	0	aggravating
rad51-cla4	-0.221307	1.08E-13	-6.49985	-12.291424	-0.272301	255	0	aggravating
mag1-csm2	-0.240259	2.09E-15	-7.664918	-8.291683	-0.197477	150	0	aggravating
mms4-mph1	-0.256879	1.65E-17	-6.412148	-8.49264	0.175496	150	0	aggravating
hpr5-mph1	-0.262447	7.97E-18	-6.160997	-6.749024	0.320202	150	0	aggravating
rtt107-cla4	-0.267349	9.86E-19	-7.213032	-11.014036	0.211395	544	0	aggravating
rad57-cla4	-0.264148	7.30E-19	-7.557545	-12.344368	-0.155205	255	0	aggravating
mms4-hpr5	-0.269203	6.77E-19	-6.918302	-8.360811	0.308882	150	0	aggravating
mph1-cla4	-0.284782	6.45E-21	-7.615264	-8.859703	-0.491568	1437	0	aggravating
rtt101-cla4	-0.282624	2.61E-21	-7.682003	-12.304146	-0.021776	140	0	aggravating
mus81-hpr5	-0.285344	2.21E-21	-7.604829	-9.060314	0.447405	150	0	aggravating
sgs1-mus81	-0.319382	7.03E-27	-10.0084	-15.523893	0.296252	97	0	aggravating
sgs1-mms4	-0.324162	1.79E-27	-10.0084	-15.336649	0.292718	97	0	aggravating
hpr5-csm3	-0.344627	4.93E-30	-4.01888	-5.30396	0.170822	4096	0	aggravating
sgs1-hpr5	-0.353215	6.76E-32	-10.0084	-16.946331	0.441718	463	0	aggravating
sgs1-slx4	-0.405419	2.22E-40	-10.0084	-18.879321	-0.383028	463	0	aggravating
rad54-hpr5	-0.422068	5.33E-46	-11.992417	-16.946331	0.236038	28	1	aggravating
