Barcode_i	Barcode_j	Condition1	Condition2	Z_Condition1	Z_Condition2	Class_Condition1	Class_Condition2	DeltaZ	DeltaZ_FDR
MAG1_donor_2	SHU1_recipient_1	NoDrug	MMS	-0.440961810142837	-10.9189026018784	NEUTRAL	AGGRAVATING	10.4779407917355	1.66553842537161e-20
MAG1_donor_2	CSM2_recipient_2	NoDrug	MMS	-1.62836370720425	-12.8589354283473	NEUTRAL	AGGRAVATING	11.230571721143	2.31475513080078e-23
MAG1_donor_2	SHU1_recipient_2	NoDrug	MMS	-1.27517500164382	-10.4995576513476	NEUTRAL	AGGRAVATING	9.22438264970375	3.91176135453299e-16
MAG1_donor_2	SHU2_recipient_1	NoDrug	MMS	-2.24241558309307	-13.9091844694534	NEUTRAL	AGGRAVATING	11.6667688863603	4.25683257842592e-25
MAG1_donor_2	SHU2_recipient_2	NoDrug	MMS	-2.40875100322643	-12.761687079231	NEUTRAL	AGGRAVATING	10.3529360760046	4.77929732124583e-20
MAG1_donor_2	SLX4_recipient_1	NoDrug	MMS	-2.83784748989018	-15.5371643880964	NEUTRAL	AGGRAVATING	12.6993168982062	1.78242912253161e-29
MMS1_donor_1	RAD18_recipient_2	NoDrug	MMS	-4.21615142123751	4.17728776393997	AGGRAVATING	ALLEVIATING	-8.39343918517748	1.98967230687059e-13
MMS1_donor_1	RAD59_recipient_1	NoDrug	MMS	-7.25015832860987	1.19607282976433	AGGRAVATING	NEUTRAL	-8.4462311583742	1.40277441367811e-13
MMS1_donor_1	RAD5_recipient_1	NoDrug	MMS	-8.43539607329602	0.786056136698453	AGGRAVATING	NEUTRAL	-9.22145220999447	5.24811304002865e-16
MMS1_donor_1	RAD5_recipient_2	NoDrug	MMS	-10.3501016415723	4.89263010220601	AGGRAVATING	ALLEVIATING	-15.2427317437783	4.58233064048921e-42
MMS1_donor_1	RAD61_recipient_1	NoDrug	MMS	-5.19596517374412	0.384648068842547	AGGRAVATING	NEUTRAL	-5.58061324258666	1.88984068970106e-06
MMS1_donor_1	RTT101_recipient_1	NoDrug	MMS	6.6896856507368	3.66571185021775	ALLEVIATING	NEUTRAL	3.02397380051905	0.0159991538119319
MMS1_donor_1	RTT107_recipient_1	NoDrug	MMS	-4.89122474765584	1.49621146789112	AGGRAVATING	NEUTRAL	-6.38743621554696	3.67464167540258e-08
MMS1_donor_1	SGS1_recipient_1	NoDrug	MMS	-4.73503092516175	-1.38456735042189	AGGRAVATING	NEUTRAL	-3.35046357473986	0.00630971076439146
MMS1_donor_1	CSM2_recipient_2	NoDrug	MMS	0.205330197832577	-4.75988939303672	NEUTRAL	AGGRAVATING	4.9652195908693	2.38447983298876e-05
